provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,Alfred Louis Kroeber 1876–1960,1962,10.1017/s0002731600025373,American Antiquity,https://doi.org/10.1017/s0002731600025373,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B5232278580042FE221AD9F50B3F4400/S0002731600025373a.pdf/div-class-title-alfred-louis-kroeber-1876-1960-div.pdf,John Howland Rowe,0,"at the age of 84. He had gone to Europe to serve as chairman of a symposium on ""Anthropological Horizons"" which he had organized for the Wenner-Gren Foundation for Anthropological Research and which was held at Burg-Wartenstein, Austria, September 18-25. After the symposium he had gone to Paris for a vacation trip with Mrs. Kroeber. He died suddenly as the result of a heart attack. Kroeber had survived a heart attack 17 years earlier and thereafter, under doctor's orders, had restricted his physical activity as much as the temptations of his professional interests permitted. The trip to Europe in 1960 was a deliberate gamble which he covered by setting his anthropological affairs in order before he left Berkeley."
openalex,"Monkey Saw, Monkey Did: A Stylization Model for Correlating Nasca and Wari Chronology",2005,,DigitalCommons (California Polytechnic State University),https://digitalcommons.library.umaine.edu/andean_past/vol7/iss1/10,https://digitalcommons.library.umaine.edu/cgi/viewcontent.cgi?article=1113&context=andean_past,Patricia J. Knobloch,0,
openalex,"Bioavailable Strontium, Human Paleogeography, and Migrations in the Southern Andes: A Machine Learning and GIS Approach",2021,10.3389/fevo.2021.584325,Frontiers in Ecology and Evolution,https://doi.org/10.3389/fevo.2021.584325,https://www.frontiersin.org/articles/10.3389/fevo.2021.584325/pdf,Ramiro Barberena; Marcelo Cardillo; Gustavo Lucero; Petrus le Roux; Augusto Tessone; Carina Llano; Alejandra Gasco; Erik Marsh; A Delaunay; Paula Novellino; Cecilia Frigolé; Diego Winocur; Anahí Benítez; Luis Cornejo; Fernanda Falabella; Lorena Sanhueza; Francisca Santana‐Sagredo; Andrés Troncoso; Valeria Cortegoso; Víctor Durán; César Méndez,0,"The Andes are a unique geological and biogeographic feature of South America. From the perspective of human geography, this mountain range provides ready access to highly diverse altitudinally arranged ecosystems. The combination of a geologically and ecologically diverse landscape provides an exceptional context to explore the potential of strontium isotopes to track the movements of people and the conveyance of material culture. Here we develop an isotopic landscape of bioavailable strontium (87Sr/86Sr) that is applied to reconstruct human paleogeography across time in the southern Andes of Argentina and Chile (31°–34°S). These results come from a macro-regional sampling of rodents ( N = 65) and plants ( N = 26) from modern and archeological contexts. This “Southern Andean Strontium Transect” extends over 350 km across the Andes, encompassing the main geological provinces between the Pacific coast (Chile) and the eastern lowlands (Argentina). We follow a recently developed approac..."
openalex,"Rural Wari Far from the Heartland: Huamanga Ceramics from Beringa, Majes Valley, Peru",2007,,DigitalCommons (California Polytechnic State University),https://digitalcommons.library.umaine.edu/andean_past/vol8/iss1/19,https://digitalcommons.library.umaine.edu/andean_past/vol8/iss1/19,B. D. OWEN,0,
openalex,"Las ocupaciones paracas y topará en Cerro del gentil, valle de Chincha",2017,10.18800/boletindearqueologiapucp.201701.003,Boletín de Arqueología PUCP,https://doi.org/10.18800/boletindearqueologiapucp.201701.003,http://revistas.pucp.edu.pe/index.php/boletindearqueologia/article/download/19492/19602,Henry Tantaleán; Charles Stanish; Kelita Pérez; Alexis Rodríguez,0,"This article presents a synthesis of the principal archaeological evidence obtained during the last three field seasons at the site of Cerro del Gentil in the middle Chincha Valley on Peru's south coast. Based on these data, we propose the existences of a series of social practices that were conducted at the site. We further explore the implications of these results for understanding the Paracas and Topar occupations in the Chincha valley between the 6th and 2nd centuries BCE."
openalex,Producción alfarera en Piura (Perú): estilos técnicos y diacronía,2008,10.4000/bifea.2985,Bulletin de l’Institut français d’études andines,https://doi.org/10.4000/bifea.2985,https://journals.openedition.org/bifea/pdf/2985,Gabriel Ramón Joffré,0,"Interesados en identificar marcadores de identidad colectiva (etnicidad), los arqueólogos han renovado sus estudios sobre talleres alfareros para identificar los modos de producción de objetos (estilos técnicos). Estos tres conceptos (identidad colectiva, talleres alfareros, estilos técnicos) han sido forjados por la etnografía. Sin embargo, el testimonio etnográfico es también histórico: cambia en el tiempo y el espacio. Por lo tanto discutiré la variabilidad sincrónica en las formas de producción cerámica de una amplia región al norte del Perú y sus usos en la interpretación del pasado (precolonial) a través de objetos."
openalex,"Trabajo, producción y cerámica. Sociología de la alfarería Paracas: Ocucaje y Tajo (Costa Sur de Perú)",2009,10.4067/s0718-10432009000100009,Estudios Atacameños Arqueología y antropología surandinas,https://doi.org/10.4067/s0718-10432009000100009,http://www.scielo.cl/pdf/eatacam/n37/art09.pdf,Pedro V. Castro-Martínez; Juan Carlos Torre; Trinidad Escoriza Mateu; Marina Godoy; Bárbara Lapi; I. Quintanilla Navarro; J. César Zavala,0,introduccin:
openalex,"El estilo cerámico Carmen y su presencia en el valle medio de Chincha, costa sur del Perú",2015,10.4000/bifea.7555,Bulletin de l’Institut français d’études andines,https://doi.org/10.4000/bifea.7555,http://journals.openedition.org/bifea/pdf/7555,Kelita Pérez; Abel Fernández; Henry Tantaleán; Charles Stanish,0,"En este artículo se describe y discute la cerámica asociada a lo que se conoce en la literatura arqueológica como la «Fase o Estilo Carmen» (circa 200-400 d. C.) recuperada en nuestras recientes investigaciones en los sitios de Cerro del Gentil y Pampa del Gentil, ubicados en el valle medio de Chincha, en la costa sur del Perú. La presentación hecha aquí del análisis de la cerámica recolectada y su contexto de recuperación nos acercan a la comprensión de la ocupación humana que habrían tenido estos sitios que, por lo general, se han relacionado con la sociedad Nasca."
openalex,Paracas Cavernas and Chavin,1953,10.30920/letras.19.49.3,Letras (Lima),https://doi.org/10.30920/letras.19.49.3,http://revista.letras.unmsm.edu.pe/index.php/le/article/download/1702/1571,A. L. Kroeber,0,"El Prof. Kroeber analiza en este trabajo sus discrepancias con Willey, con quien concuerda en que lo conocido del material de Cavernas no es total o estrictamente de estilo chavín, y con quien discrepa al concedersignificación a ese pequeño margen de ingrediente chavín, que Willey estima despreciable, dudoso y debatible.Kroeber examina también otro problema relacionado con la cuestión ant rior: Si la mayoría de los ingredientes de la cultura de Cavernas no es chavín, ¿cuáles son sus conexiones estilísticas?. En seguida, el autor pasa al análisis de las relaciones con Ocucaje, Necrópolis de Paracas y la cultura de Nazca. Compara las formas yrasgos generales de todo el material denominado chavinoide llamando la atención hacia la distinción de las características locales, como el gollete en forma de estribo, que no aparece sino en el Norte, y las características que él llama universales o comunes a todos los sitios chavín. Kroeber cree que, al presente no se puede dudar de que el nacim..."
openalex,Evidence for Preceramic Houses and Household Organization in Western South America,1992,,DigitalCommons (California Polytechnic State University),https://digitalcommons.library.umaine.edu/andean_past/vol3/iss1/12,https://digitalcommons.library.umaine.edu/cgi/viewcontent.cgi?article=1040&context=andean_past,Michael A. Malpass; Karen E. Stothert,0,
openalex,Ecosystem Services Provided by Kelp Forests of the Humboldt Current System: A Comprehensive Review,2022,10.3390/coasts2040013,Coasts,https://doi.org/10.3390/coasts2040013,https://www.mdpi.com/2673-964X/2/4/13/pdf?version=1667386362,Diego Cuba; Katerin Guardia-Luzon; Bruno Cevallos; Sabrina Ramos-Larico; Eva Neira; Alejandro Pons; José Ávila-Peltroche,0,"Marine ecosystems such as kelp are gaining recognition for providing ecosystem services (ES) along the coastal regions worldwide. Here, we synthesize information from the last four decades of research on the structure, functioning and threats of kelp forests, and the ES they provide in the Humboldt Current System (HCS) where information is scarce. The SALSA (Search, Appraisal, Synthesis and Analysis) framework was used for the literature survey and review. From 86 selected articles, only 4 directly discussed kelp ES in Chile. Supporting services-related articles were the most prevalent (n = 59), followed by provisioning (n = 19), regulating (n = 3) and cultural services (n = 1). ES-related research was mostly conducted in Chile (n = 77). Studies in Peru (n = 5), and in Chile and Peru at same time (n = 4) were scarce. Our search also showed that Lessonia trabeculata presented the highest number of associated taxa (n = 213), followed closely by M. pyrifera (n = 210). However, the numb..."
crossref,"Paracas in Nazca: New Data on the Early Horizon Occupation of the Rio Grande de Nazca Drainage, Peru",1994,10.2307/971822,Latin American Antiquity,https://doi.org/10.2307/971822,,Helaine Silverman,0,"Nasca culture and, particularly, Nasca ceramic iconography are held to evolve directly and smoothly out of antecedent Paracas. Yet the data reviewed in this article indicate that Paracas remains in the Río Grande de Nazca drainage, the heartland of Nasca culture on the south coast of Peru, are limited in nature, a fact that makes it difficult to derive Nasca from Paracas in Nazca. In contrast, there are rich and abundant Paracas remains in the Ica, Pisco, and Chincha valleys, at the Paracas type site itself, and along the Bahía de la Independencia. I look to the Ica Valley for the origins of the Nasca style."
crossref,"ARCHEOLOGY. <i>Paracas, Nazca, and Tiahuanacoid Cultural Relationships in South Coastal Peru.</i> William Duncan Strong.",1960,10.1525/aa.1960.62.2.02a00210,American Anthropologist,https://doi.org/10.1525/aa.1960.62.2.02a00210,,Eugene A. Hammel,0,
crossref,Paracas and Nazca,2016,10.37862/aaeportal.00408.020,Indian Art of the Americas at the Art Institute of Chicago,https://doi.org/10.37862/aaeportal.00408.020,,,0,
crossref,20. Paracas and Nazca Iconography,1961,10.4159/harvard.9780674864917.c22,Essays in Pre-Columbian Art and Archaeology,https://doi.org/10.4159/harvard.9780674864917.c22,,,0,
crossref,The Paracas Society of Prehispanic Peru,2021,10.1093/acrefore/9780199366439.013.981,Oxford Research Encyclopedia of Latin American History,https://doi.org/10.1093/acrefore/9780199366439.013.981,,Henry Tantaleán,0,"Paracas society spread over a large geographical area on the southern Peruvian coast between 800 bce and 200 bce . Unlike an “archaeological culture” that has uniform economy, politics, and ideology and is integrated under a single political structure, the Paracas phenomenon was a series of communities adopting different forms of economic and political organizations that were, nevertheless, economically linked and sharing the same religious ideology. The social mechanisms by which all these communities and political entities were linked included exchange, ritual, and religion, which allowed them to share a series of artifacts, social practices, rituals, and religious iconography. In each of the valleys, every entities, or group of communities, had their own architectural and artisanal features and were economically and politically autonomous. The famous archaeological sites associated with Cerro Colorado on the Paracas peninsula seem to have been more than a central place for Paraca..."
crossref,"O tecido como suporte para o registro autônomo dos povos originários da América Latina: Paracas, Nazca, Mapuche e os processos de Transculturação",,10.11606/d.84.2023.tde-22122023-171928,,https://doi.org/10.11606/d.84.2023.tde-22122023-171928,,Gabriela Castilho Guimarães,0,
crossref,"Intentional cranial modification as a marker of identity in Paracas Cavernas, South-Central Coast of Peru",2022,10.1016/j.jasrep.2021.103264,Journal of Archaeological Science: Reports,https://doi.org/10.1016/j.jasrep.2021.103264,,Juliana Gómez-Mejía; Delia Aponte; Luis Pezo-Lanfranco; Sabine Eggers,0,
crossref,"Paracas, Nazca, and Tiahuanacoid Cultural Relationships in South Coastal Peru. Duncan Strong William. Memoirs of the Society for American Archaeoolgy, No. 13, Salt Lake City, 1957. vi + 48 pages, frontis., 18 figs., 4 tables. $1.00.",1960,10.2307/277555,American Antiquity,https://doi.org/10.2307/277555,,S. K. Lothrop,0,
crossref,Paleodiet in the Paracas Necropolis of Wari Kayan: carbon and nitrogen isotope analysis of keratin samples from the south coast of Peru,2015,10.1016/j.jas.2015.01.011,Journal of Archaeological Science,https://doi.org/10.1016/j.jas.2015.01.011,,Kelly J. Knudson; Ann H. Peters; Elsa Tomasto Cagigao,0,
crossref,"Archaeological explorations in Peru. Part III, Textiles of the early Nazca period",1937,10.5962/bhl.title.3352,"Anthropology, memoirs. Field Museum of Natural History",https://doi.org/10.5962/bhl.title.3352,,Lila M. O'Neale; Paul S. Martin,0,
crossref,Airport construction threatens unexplored archaeological sites in Peru,2019,10.1126/science.aaw9182,Science,https://doi.org/10.1126/science.aaw9182,,Lizzie Wade,0,
crossref,Nazca Pottery,2005,10.1215/9780822387503-004,The Peru Reader,https://doi.org/10.1215/9780822387503-004,,Javier Sologuren,0,
crossref,The llama's share: Highland origins of camelids during the Late Paracas period (370 to 200 BCE) in south Peru demonstrated by strontium isotope analysis,2018,10.1016/j.jasrep.2018.04.032,Journal of Archaeological Science: Reports,https://doi.org/10.1016/j.jasrep.2018.04.032,,Christian Mader; Stefan Hölzl; Karin Heck; Markus Reindel; Johny Isla,0,
crossref,"4. Blood, Fertility, and Transformation: Interwoven Themes in the Paracas Necropolis Embroideries",2001,10.7560/708938-005,Ritual Sacrifice in Ancient Peru,https://doi.org/10.7560/708938-005,,Mary Frame,0,
crossref,Paracas Necrópolis Textiles: Symbolic Visions of Coastal Peru,1998,10.37862/aaeportal.00118.027,The Ancient Americas: Art from Sacred Landscapes,https://doi.org/10.37862/aaeportal.00118.027,,,0,
crossref,A Comparison of War Iconography in the Archaeological Textiles of Paracas-Topará (in Southern Peru) and in the Weavings of Ayllu Qaqachaka (Bolivia) Today,2009,10.2752/147597509x12541451109794,TEXTILE,https://doi.org/10.2752/147597509x12541451109794,,Denise Y. Arnold; Elvira Espejo Ayca,0,
crossref,"Ecología de Phyllodactylus angustidigitus y P. gerrhopygus (Squamata: Phyllodactylidae) de la Reserva Nacional de Paracas, Perú",2011,10.15381/rpb.v18i2.232,Revista Peruana de Biología,https://doi.org/10.15381/rpb.v18i2.232,,José Pérez Z.; Katya Balta,0,"Until now, ecology of Phyllodactylus angustidigitus and P. gerrhopygus are unknown. In this work, we researched some aspects of P. angustidigitus and P. gerrhopygus niches at National Reserve of Paracas (RNP). We evaluated and compared: distribution, habitat use (spatial niche), activity patterns (temporal niche) and diet (trophic niche), all these aspects in both geckonids species. We estimated resource supply through pitfall traps. Paracas geckonid, P. angustidigitus, has been present in most of the RNP evaluated locations, and it was reported in desert and hills habitats. Southern geckonid, P. gerrhopygus, was reported only in Paracas peninsula and Sta. Cruz, in desert, hills and oasis habitats. Both species were founded in activity at night time. P. angustidigitus and P. gerrhopygus diet consisted in insects. The diet of these species shows a generalist behavior, caused by the trophic niche amplitude, and an opportunistic behavior, explained with similarity between diet composit..."
crossref,V. The Early Nasca Pilgrimage Center of Cahuachi and the Nazca Lines: Anthropological and Archaeological Perspectives,1990,10.70249/9798893981193-008,Lines of Nazca,https://doi.org/10.70249/9798893981193-008,,Helaine Silverman,0,
