site_name,study_count_for_site,latitude,longitude,coordinate_status,coordinate_source_name,coordinate_source_url,study_title,study_year,study_doi,study_source,study_landing_page_url,study_pdf_url,study_authors,abstract_excerpt
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,V. The Early Nasca Pilgrimage Center of Cahuachi and the Nazca Lines: Anthropological and Archaeological Perspectives,1990,10.70249/9798893981193-008,Lines of Nazca,https://doi.org/10.70249/9798893981193-008,,Helaine Silverman,
Cerro Baul,1,,,missing,,,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",2010,10.1002/oa.1157,International Journal of Osteoarchaeology,https://doi.org/10.1002/oa.1157,,Erin Kennedy Thornton; Susan D. deFrance; John Krigbaum; Patrick Ryan Williams,"Abstract Archaeological and zooarchaeological data indicate that camelid pastoralism was a subsistence and economic mainstay of Middle Horizon and more recent cultures in the Osmore region of southern Peru. However, it is not known whether camelids were primarily herded in highland puna pastures or near lower elevation sites in the middle valley or along the coast. This research examines the elevation of archaeological camelid herding in the Osmore Valley using stable isotope analysis. Stable carbon (δ 13 C) and nitrogen (δ 15 N) isotope ratios were measured on 28 archaeological camelid bone samples from the Middle Horizon sites of Cerro Baúl and Cerro Mejía, the Late Intermediate site of Yaral and the late pre‐Hispanic to Colonial period site of Torata Alta. Twenty‐three archaeological camelids have δ 13 C and δ 15 N values similar to five modern camelids maintained in highland puna pastures. In contrast, three camelids from the high status Wari site of Cerro Baúl, and two from Yar..."
Cerro Mejia,1,,,missing,,,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",2010,10.1002/oa.1157,International Journal of Osteoarchaeology,https://doi.org/10.1002/oa.1157,,Erin Kennedy Thornton; Susan D. deFrance; John Krigbaum; Patrick Ryan Williams,"Abstract Archaeological and zooarchaeological data indicate that camelid pastoralism was a subsistence and economic mainstay of Middle Horizon and more recent cultures in the Osmore region of southern Peru. However, it is not known whether camelids were primarily herded in highland puna pastures or near lower elevation sites in the middle valley or along the coast. This research examines the elevation of archaeological camelid herding in the Osmore Valley using stable isotope analysis. Stable carbon (δ 13 C) and nitrogen (δ 15 N) isotope ratios were measured on 28 archaeological camelid bone samples from the Middle Horizon sites of Cerro Baúl and Cerro Mejía, the Late Intermediate site of Yaral and the late pre‐Hispanic to Colonial period site of Torata Alta. Twenty‐three archaeological camelids have δ 13 C and δ 15 N values similar to five modern camelids maintained in highland puna pastures. In contrast, three camelids from the high status Wari site of Cerro Baúl, and two from Yar..."
Chachapoya,1,,,missing,,,Survey of a Peruvian Archaeological Site Using LiDAR and Photogrammetry: A Contribution to the Study of the Chachapoya,2021,10.1007/978-3-030-86979-3_43,Lecture notes in computer science,https://doi.org/10.1007/978-3-030-86979-3_43,,Giovanni Righetti; Stefano Serafini; Fabian Brondi Rueda; Warren Church; Gabriele Garnero,
Chachapoyas,1,,,missing,,,"Lasers Without Lost Cities: Using Drone Lidar to Capture Architectural Complexity at Kuelap, Amazonas, Peru",2020,10.1080/00934690.2020.1713287,Journal of Field Archaeology,https://doi.org/10.1080/00934690.2020.1713287,https://www.tandfonline.com/doi/pdf/10.1080/00934690.2020.1713287?needAccess=true,Parker VanValkenburgh; K. C. Cushman; Luis Jaime Castillo Butters; Carol Rojas Vega; Carson Roberts; Charles Kepler; James R. Kellner,"We report the results of drone lidar survey at a high-elevation archaeological site in the Chachapoyas region of Peruvian Amazonia. Unlike traditional airborne remote sensing, drone lidar produces very high-density measurements at a wide range of scan angles by operating at low altitudes and slow flight speeds. These measurements can resolve near vertical surfaces and novel dimensions of variability in architectural datasets. We show in a case study at Kuelap that the number of detected structures almost exactly matches the number reported from previous ground level surveys, and we use these data to quantify the relative circularity and size frequency distribution of architectural structures. We demonstrate variability in domestic architecture that was obscured in previous models produced using low-resolution remote sensing. Spatial analysis of these attributes produces new hypotheses about the site's construction history and social organization."
Chiribaya Baja,1,,,missing,,,"Techniques of DNA-studies on prehispanic ectoparasites (Pulex sp., Pulicidae, Siphonaptera) from animal mummies of the Chiribaya Culture, Southern Peru",2003,10.1590/s0074-02762003000900010,Memórias do Instituto Oswaldo Cruz,https://doi.org/10.1590/s0074-02762003000900010,https://www.scielo.br/j/mioc/a/gW8kC59xLjDyRFnfy3YG5mR/?lang=en&format=pdf,Katharina Dittmar; Uwe Mamat; M Whiting; Torsten Goldmann; Karl J. Reinhard; Sonia Guillén,"During a paleoparasitological survey of several animal mummies (Cavia aperea f. porcellus and Canis familiaris) from Chiribaya Baja, an archaeological site in Southern Peru, an unexpected find was made. In the well preserved fur, large numbers of mummified fleas (Pulex simulans/irritans) that parasitized the animals during life were encountered. Due to the relative recent event of the host mummification and the outstanding preservation of the fleas, an attempt for the retrieval of DNA was made. A DNA extraction and sequencing protocol for archaeological ectoparasitic remains has been established, taking additional studies for tissue and protein preservation into account. Tissue preservation was assessed with transmission electron microscopy and the protein preservation was tested through the racemisation ratios of aspartic acid. Regions of the 28S rDNA gene were successfully amplified and sequenced. Further research perspectives are outlined."
Huaca Prieta,2,,,missing,,,"A late pleistocene human presence at Huaca Prieta, Peru, and early Pacific Coastal adaptations",2012,10.1016/j.yqres.2012.02.003,Quaternary Research,https://doi.org/10.1016/j.yqres.2012.02.003,,Tom D. Dillehay; Duccio Bonavía; S. L. Goodbred; Mario Pino; Víctor Vásquez; Teresa E. Rosales Tham,"Archaeological excavations in deep pre-mound levels at Huaca Prieta in northern Peru have yielded new evidence of late Pleistocene cultural deposits that shed insights into the early human occupation of the Pacific coast of South America. Radiocarbon dates place this occupation between ~ 14,200 and 13,300 cal yr BP. The cultural evidence shares certain basic technological and subsistence traits, including maritime resources and simple flake tools, with previously discovered late Pleistocene sites along the Pacific coast of Peru and Chile. The results help to expand our knowledge of early maritime societies and human adaption to changing coastal environments."
Huaca Prieta,2,,,missing,,,Early pre-Hispanic use of indigo blue in Peru,2016,10.1126/sciadv.1501623,Science Advances,https://doi.org/10.1126/sciadv.1501623,https://advances.sciencemag.org/content/advances/2/9/e1501623.full.pdf,Jeffrey Splitstoser; Tom D. Dillehay; Jan Wouters; Ana Claro,"Archaeological research has identified the use of cultivated cotton (Gossypium barbadense) in the ancient Andes dating back to at least 7800 years ago. Because of unusual circumstances of preservation, 6000-year-old cotton fabrics from the Preceramic site of Huaca Prieta on the north coast of Peru retained traces of a blue pigment that was analyzed and positively identified as an indigoid dye (indigotin), making it the earliest known use of indigo in the world, derived most likely from Indigofera spp. native to South America. This predates by ~1500 years the earliest reported use of indigo in the Old World, from Fifth Dynasty Egypt [ca. 4400 BP (before present)]. Indigo is one of the most valued and most globally widespread dyes of antiquity and of the present era (it being the blue of blue jeans)."
Ica,9,,,missing,,,"Cerrillos, an Early Paracas Site in ICA, Peru",1962,10.2307/277797,American Antiquity,https://doi.org/10.2307/277797,,Dwight T. Wallace,"Abstract Excavations at Site PV62-63 (Cerrillos) uncovered a refuse accumulation several meters deep with two major stratigraphic units, the earlier termed the Cerrillos phase, the later termed the Isla phase. Cerrillos ceramics are of a style new to the Ica sequence and the earliest known in the valley; they represent an early development in the Paracas style, but also share various specific traits with Chavinoid ceramic styles in other areas. Ceramics of the Isla phase represent a local development out of Cerrillos but with many of the Chavinoid traits lacking. The Isla ceramic style had been previously recognized as the earliest known Paracas phase, although no refuse excavations had been made. Isla refuse is associated with a series of superimposed adobe structures, representing terraced habitations arranged in a complex apartment-house-like dwelling unit. The refuse of both stratigraphic units indicates very heavy dependence on agricultural produce, beans and a primitive type o..."
Ica,9,,,missing,,,"Doubts about How the Middle Horizon Collapsed (ca. A.D. 1000) and Other Insights from the Looted Cemeteries of the Lower Ica Valley, South Coast of Peru",2018,10.1080/00934690.2018.1464306,Journal of Field Archaeology,https://doi.org/10.1080/00934690.2018.1464306,https://www.tandfonline.com/doi/pdf/10.1080/00934690.2018.1464306?needAccess=true,Lauren Cadwallader; David Beresford‐Jones; Fraser Sturt; Alexander Pullen; Susana Arce Torres,"This paper presents new information from funerary contexts in the lower Ica Valley, on the south coast of Peru, spanning two millennia from the end of the Early Horizon to the Late Intermediate Period. Although severely looted, these sites can still yield valuable information. We discuss their architecture and material culture in the context of radiocarbon dates. Among other findings, these cast new light on the poorly understood transition from the Middle Horizon to the Late Intermediate Period, for which a paucity of archaeological data from ca. A.D. 1000-1250 has long been taken as evidence of an environmentally-or socially-induced demographic collapse. Yet the data we present here suggest that the basins of the lower Ica Valley were likely occupied continuously over this period, and that the echoes of Wari influence here may have lasted longer than previously thought."
Ica,9,,,missing,,,"Gardens in the Desert: Archaeobotanical Analysis from the Lower Ica Valley, Peru",2005,,DigitalCommons (California Polytechnic State University),https://digitalcommons.library.umaine.edu/andean_past/vol7/iss1/11,https://digitalcommons.library.umaine.edu/andean_past/vol7/iss1/11,Anita G. Cook; Nancy A. Parrish,
Ica,9,,,missing,,,"Notas sobre la ecología reproductiva y conservación de los chorlos nevados Charadrius nivosus occidentalis en Paracas, Perú",2011,10.15381/rpb.v18i1.153,Revista Peruana de Biología,https://doi.org/10.15381/rpb.v18i1.153,,Clemens Küpper; Edgardo Aguilar; Oscar González,"The snowy plover is a shorebird endemic to the Americas. It consists of three subspecies. In South America the subspecies occidentalis is found along the coast of the Pacific ocean. Although breeding behaviour,population demography and reproductive success are well established in North America, little is known about these ecological parameters for occidentalis snowy plovers. In October 2008 we studied breeding ecology of snowy plovers in the National Reserve Paracas, Ica, Peru. Snowy plovers were found at all nine sandy beaches and coastal wetlands visited. Based on counts we estimate the population in Paracas to consist of a minimum of 500 snowy plovers. Evidence for breeding activity was found at six of nine sites. Most breeding activity was observed at Playón/Mendieta, surrounding a temporal salt lagoon. Two nests and ten families were found in the entire reserve. In total 24 chicks, eight males and seven females were captured and marked. Families were tended by both parents. Twe..."
Ica,9,,,missing,,,"Paracas in Nazca: New Data on the Early Horizon Occupation of the Rio Grande de Nazca Drainage, Peru",1994,10.2307/971822,Latin American Antiquity,https://doi.org/10.2307/971822,,Helaine Silverman,"Nasca culture and, particularly, Nasca ceramic iconography are held to evolve directly and smoothly out of antecedent Paracas. Yet the data reviewed in this article indicate that Paracas remains in the Río Grande de Nazca drainage, the heartland of Nasca culture on the south coast of Peru, are limited in nature, a fact that makes it difficult to derive Nasca from Paracas in Nazca. In contrast, there are rich and abundant Paracas remains in the Ica, Pisco, and Chincha valleys, at the Paracas type site itself, and along the Bahía de la Independencia. I look to the Ica Valley for the origins of the Nasca style."
Ica,9,,,missing,,,Refining the Maritime Foundations of Andean Civilization: How Plant Fiber Technology Drove Social Complexity During the Preceramic Period,2017,10.1007/s10816-017-9341-3,Journal of Archaeological Method and Theory,https://doi.org/10.1007/s10816-017-9341-3,https://link.springer.com/content/pdf/10.1007%2Fs10816-017-9341-3.pdf,David Beresford‐Jones; Alexander Pullen; George Chauca; Lauren Cadwallader; María del Carmen García García; Isabel Salvatierra; Oliver Q. Whaley; Víctor Vásquez; Susana Arce; Kevin Lane; Charles French,"Moseley's (1975) <i>Maritime Foundations of Andean Civilization</i> hypothesis challenges, in one of humanity's few pristine hearths of civilization, the axiom that agriculture is necessary for the rise of complex societies. We revisit that hypothesis by setting new findings from La Yerba II (7571-6674 Cal bp) and III (6485-5893 Cal bp), Río Ica estuary, alongside the wider archaeological record for the end of the Middle Preceramic Period on the Peruvian coast. The La Yerba record evinces increasing population, sedentism, and ""Broad Spectrum Revolution"" features, including early horticulture of <i>Phaseolus</i> and <i>Canavalia</i> beans. Yet unlike further north, these changes failed to presage the florescence of monumental civilization during the subsequent Late Preceramic Period. Instead, the south coast saw a profound ""archaeological silence."" These contrasting trajectories had little to do with any relative differences in <i>marine</i> resources, but rather to restrictions on t..."
Ica,9,,,missing,,,"Restos vegetales del sitio arqueológico Casa Vieja, Callango (Ica)",2003,10.15381/rpb.v10i1.2476,Revista Peruana de Biología,https://doi.org/10.15381/rpb.v10i1.2476,https://revistasinvestigacion.unmsm.edu.pe/index.php/rpb/article/download/2476/2169,José Roque; Asunción Cano; Anita G. Cook,"Se da a conocer los resultados de un estudio paleoetnobotánico realizado en el sitio arqueológico Casa Vieja, situado en Callango (sector inferior del valle de Ica), perteneciente al periodo Horizonte Medio. Se determinaron 23 especies, todas de la división Magnoliophyta, 18 (78%) en las Magnoliopsida y 5 (22%) en las Liliopsida. La familia Fabaceae resultó la mejor representada a nivel específico, con 6 especies. La mayoría de las muestras analizadas correspondieron a semillas de Gossypium barbadense “algodón”. El setenta por ciento de las especies fueron probablemente utilizadas para la alimentación; el 48% para la confección y construcción y el 52% para atender necesidades de salud."
Ica,9,,,missing,,,"The First Field Season of Excavations at the Alto del Molino Site, Pisco Valley, Peru",1997,10.1179/jfa.1997.24.4.441,Journal of Field Archaeology,https://doi.org/10.1179/jfa.1997.24.4.441,,Helaine Silverman,"AbstractLittle archaeological fieldwork has been conducted in the Pisco Valley on the south coast of Peru and Pisco has long been regarded as inconsequential in the cultural dynamics of the region's prehistory. Yet a critical review of the literature and, especially, the results of recent excavations at the Alto del Molino site reveal that Pisco played an important role in the development of social complexity on the south coast at the end of the Early Horizon (ca. 300–1 B.C.) through the early Early Intermediate Period (ca. A.C. 1–300). The Pisco Valley is part of the larger context of the great cemeteries of the nearby, desolate Paracas Peninsula and the valley contributes to our understanding of those elaborate mortuary phenomena. In addition, a major regional culture called Carmen flourished in Pisco following the abandonment of the Paracas cemeteries and contemporary Pisco Valley sites. Carmen is contemporary with early Nasca culture of the Ica and Nazca valleys to the south and..."
Ica,9,,,missing,,,¿Hacia un urbanismo paracas en Ánimas Altas/Ánimas Bajas (valle de Ica)?,2013,10.18800/boletindearqueologiapucp.201301.008,Boletín de Arqueología PUCP,https://doi.org/10.18800/boletindearqueologiapucp.201301.008,https://revistas.pucp.edu.pe/index.php/boletindearqueologia/article/download/14445/15059,Ai͏̈cha Bachir Bacha; Daniel Llanos,"Desde 2009, en el marco del Programa Arqueológico Ánimas Altas, Ica, Perú, bajo la dirección de los autores, se realizan exca-vaciones sistemáticas en el complejo arqueológico Ánimas Altas/Ánimas Bajas, principal establecimiento paracas en el valle bajode Ica. Hasta la fecha, se han documentado áreas público-ceremoniales, y otras de carácter doméstico y/o de producción. Además,las excavaciones han revelado secciones de complejos piramidales contiguos a plazas, una pequeña pirámide que albergaba unatumba de élite asociada a un friso mural y vestigios de viviendas y áreas de almacenaje.En el presente artículo, sobre la base de los datos proporcionados por las recientes excavaciones, intentamos aproximarnos al tipo de establecimiento que habría sido Ánimas. Se enfatizan los análisis de la cultura material para alimentar la reflexión sobre la noción de la ciudad y del territorio en los Andes, y enriquecer la problemática del urbanismo prehispánico, tema muy debatido en el Perú. Asimismo..."
Intihuatana,1,,,missing,,,Solutions and limitations of the geomatic survey of an archaeological site in hard to access areas with a latest generation smartphone: the example of the Intihuatana stone in Machu Picchu (Peru),2022,10.21014/acta_imeko.v11i1.1117,ACTA IMEKO,https://doi.org/10.21014/acta_imeko.v11i1.1117,https://acta.imeko.org/index.php/acta-imeko/article/download/IMEKO-ACTA-11%20%282022%29-01-20/pdf,Valerio Baiocchi; Silvio Del Pizzo; Felicia Monti; Giovanni Pugliano; Matteo Onori; Umberto Robustelli; Salvatore Troisi; Felicia Vatore; Francisco James León Trujillo,"&lt;p class=""Abstract""&gt;&lt;span lang=""EN-US""&gt;Archaeological remains need to be geometrically surveyed and set in absolute reference systems in order to allow a ""virtual visit"" and to create ""digital twins"" useful in case of deterioration for proper restoration. Some countries (e.g., Peru) have a vast archaeological heritage whose survey requires optimized procedures that allow high productivity while maintaining high standards of geometric accuracy. A large part of Peru's cultural heritage is located in remote areas, at high altitudes and not easily accessible. For this reason, it is of great interest to study the possible applications of easily transportable instruments. In this study it was verified how the capabilities of the latest smartphones in terms of absolute differential positioning and photogrammetric acquisition can allow the acquisition of a geometrically correct and georeferenced three-dimensional model. The experimentation concerned a new survey of the Intihuata..."
