site_name,source,source_url,latitude,longitude,source_file,site_type
Viracochapampa,wikidata,http://www.wikidata.org/entity/Q8026729,-7.789489,-78.045919,wikidata_archeological_sites.geojson,pampa
virah,archaeogeodesy.org,,-9.141615,-78.213126,archaeogeodesy_peru.csv,
viruh,archaeogeodesy.org,,-8.400144,-78.756576,archaeogeodesy_peru.csv,
virul,archaeogeodesy.org,,-8.399510,-78.757692,archaeogeodesy_peru.csv,
visch,archaeogeodesy.org,,-13.596681,-74.014547,archaeogeodesy_peru.csv,
vitco,archaeogeodesy.org,,-13.097865,-72.931769,archaeogeodesy_peru.csv,
Vitcos,osm,https://www.openstreetmap.org/node/5642313796,-13.102595,-72.927969,osm_archeological_sites.geojson,
Vitcos,osm,https://www.openstreetmap.org/way/37114982,-13.098462,-72.931987,osm_archeological_sites.geojson,
Vitcos,wikidata,http://www.wikidata.org/entity/Q2045814,-13.100000,-72.950000,wikidata_archeological_sites.geojson,
vllul,archaeogeodesy.org,,-24.719863,-68.536852,archaeogeodesy_peru.csv,
vmist,archaeogeodesy.org,,-16.296680,-71.411084,archaeogeodesy_peru.csv,
Waca de Sapantiana,wikidata,http://www.wikidata.org/entity/Q117886344,-13.512059,-71.978177,wikidata_archeological_sites.geojson,
wakcc,archaeogeodesy.org,,-9.212824,-76.801774,archaeogeodesy_peru.csv,
Wall,archaeogeodesy.org,,-7.992266,-79.085630,archaeogeodesy_peru.csv,wall
wall,archaeogeodesy.org,,-8.783036,-78.565991,archaeogeodesy_peru.csv,wall
wall,archaeogeodesy.org,,-8.936530,-78.626402,archaeogeodesy_peru.csv,wall
wall,archaeogeodesy.org,,-10.011528,-77.876495,archaeogeodesy_peru.csv,wall
wall 258m,archaeogeodesy.org,,-9.538385,-65.453725,archaeogeodesy_peru.csv,wall
wall2,archaeogeodesy.org,,-9.226248,-76.798455,archaeogeodesy_peru.csv,wall
walls,archaeogeodesy.org,,-11.947241,-77.097385,archaeogeodesy_peru.csv,wall
wallu,archaeogeodesy.org,,-9.220981,-76.794111,archaeogeodesy_peru.csv,wall
wamac,archaeogeodesy.org,,-7.783393,-78.080196,archaeogeodesy_peru.csv,
wamam,archaeogeodesy.org,,-7.774186,-78.087200,archaeogeodesy_peru.csv,
Waman Wain,wikidata,http://www.wikidata.org/entity/Q66092201,-9.578168,-77.166498,wikidata_archeological_sites.geojson,
Wamanmarka,osm,https://www.openstreetmap.org/way/771625883,-13.020744,-72.495672,osm_archeological_sites.geojson,
Wamanmarka,wikidata,http://www.wikidata.org/entity/Q25044865,-12.374633,-75.857905,wikidata_archeological_sites.geojson,
"Wamanmarka, Lima",Wikipedia,"https://en.wikipedia.org/wiki/Wamanmarka,_Lima",-12.374600,-75.857900,wikipedia_peru_archaeological_sites.csv,
wamin,archaeogeodesy.org,,-13.364825,-74.079411,archaeogeodesy_peru.csv,
Wamp'uy,wikidata,http://www.wikidata.org/entity/Q17104394,-16.572306,-72.715472,wikidata_archeological_sites.geojson,
wanak,archaeogeodesy.org,,-13.594020,-71.907529,archaeogeodesy_peru.csv,
Wanakawri (Cusco),Wikipedia,https://en.wikipedia.org/wiki/Wanakawri_(Cusco),-13.594440,-71.905560,wikipedia_peru_archaeological_sites.csv,
wanka,archaeogeodesy.org,,-16.807379,-68.672444,archaeogeodesy_peru.csv,
wants,archaeogeodesy.org,,-9.514802,-77.310877,archaeogeodesy_peru.csv,
wapiu,archaeogeodesy.org,,-13.157193,-72.545723,archaeogeodesy_peru.csv,
waqra,archaeogeodesy.org,,-14.019764,-71.693877,archaeogeodesy_peru.csv,
Waqrapukara,osm,https://www.openstreetmap.org/way/1022165780,-14.019949,-71.693480,osm_archeological_sites.geojson,fortress
Waqrapukara,wikidata,http://www.wikidata.org/entity/Q15949935,-14.019878,-71.693821,wikidata_archeological_sites.geojson,fortress
Waqrapukara,PotP,,-14.033100,-71.629700,sites_youtube_pillars_of_the_past.geojson,fortress
Waqrapukara,Wikipedia,https://en.wikipedia.org/wiki/Waqrapukara,-14.022861,-71.693610,wikipedia_peru_archaeological_sites.csv,fortress
Waraqayuq,Wikipedia,https://en.wikipedia.org/wiki/Waraqayuq,-9.665280,-77.225000,wikipedia_peru_archaeological_sites.csv,
Waraqu Urqu,Wikipedia,https://en.wikipedia.org/wiki/Waraqu_Urqu,-13.120280,-73.832500,wikipedia_peru_archaeological_sites.csv,
Warawtampu,wikidata,http://www.wikidata.org/entity/Q15949889,-10.465000,-76.536667,wikidata_archeological_sites.geojson,
Wari (archaeological site),Wikipedia,https://en.wikipedia.org/wiki/Wari_(archaeological_site),-13.060560,-74.198890,wikipedia_peru_archaeological_sites.csv,
Wari (Huari),Wikipedia,,-13.060600,-74.198900,sites_wikipedia.geojson,
Wari archaeological complex,wikidata,http://www.wikidata.org/entity/Q3395231,-13.061367,-74.194028,wikidata_archeological_sites.geojson,
Wari Kayan,osm,https://www.openstreetmap.org/node/1690339235,-13.878499,-76.217141,osm_archeological_sites.geojson,
Wari Willka,osm,https://www.openstreetmap.org/way/771625882,-12.117594,-75.206119,osm_archeological_sites.geojson,
Wari Willka,wikidata,http://www.wikidata.org/entity/Q9005122,-12.117459,-75.206069,wikidata_archeological_sites.geojson,
waric,archaeogeodesy.org,,-13.059678,-74.199790,archaeogeodesy_peru.csv,
wariw,archaeogeodesy.org,,-12.117587,-75.206110,archaeogeodesy_peru.csv,
wariy,archaeogeodesy.org,,-9.481737,-76.824780,archaeogeodesy_peru.csv,
warmi,archaeogeodesy.org,,-10.464836,-76.536408,archaeogeodesy_peru.csv,
waskc,archaeogeodesy.org,,-18.480432,-68.758471,archaeogeodesy_peru.csv,
Wat'a,osm,https://www.openstreetmap.org/way/1181162810,-13.348732,-72.249236,osm_archeological_sites.geojson,
Wat'a,wikidata,http://www.wikidata.org/entity/Q17104478,-9.357272,-76.811217,wikidata_archeological_sites.geojson,
"Wat'a, Cusco",wikidata,http://www.wikidata.org/entity/Q16902999,-13.392200,-72.202800,wikidata_archeological_sites.geojson,
"Wat'a, Cusco",Wikipedia,"https://en.wikipedia.org/wiki/Wat%27a,_Cusco",-13.346940,-72.245560,wikipedia_peru_archaeological_sites.csv,
wata,archaeogeodesy.org,,-13.347410,-72.245822,archaeogeodesy_peru.csv,
watah,archaeogeodesy.org,,-9.357722,-76.807564,archaeogeodesy_peru.csv,
watas,archaeogeodesy.org,,-13.348566,-72.248408,archaeogeodesy_peru.csv,
