global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,composite_score_pre_modern_filter,modern_access_score,modern_penalty_factor,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,nearest_settlement_km,nearest_major_road_km,nearest_post_office_km,nearest_airport_km,nearest_port_km,nearest_settlement_name,lat_center,lon_center
95,18L YL 65 39,18LYL6539,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2994,0.4991,0.4707,0.5999,0.3597,0.7669,0.4119,1.27,4.66,5.88,3.28,5.95,50.42,93.91,Machupicchu,-13.202,-72.55
96,17M PN 37 49,17MPN3749,North Coast — Mochica Belt,Tier 4 -- Marginal,0.2987,0.5031,0.4779,0.5938,0.3973,0.9256,0.4362,0.89,1.49,7.95,1.13,8.39,83.51,150.57,Picsi,-6.788,-79.756
97,18L VJ 82 88,18LVJ8288,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2986,0.466,0.4226,0.6408,0.1689,0.8332,0.1785,0.54,3.34,5.06,3.54,37.08,86.46,148.79,Palpa,-14.573,-75.162
98,17L QL 49 75,17LQL4975,North Coast — Mochica Belt,Tier 4 -- Marginal,0.2984,0.5134,0.4926,0.5813,0.382,0.9778,0.4287,1.09,0.44,7.26,0.28,41.62,25.75,238.7,Viru,-8.354,-78.73
99,17M PN 38 49,17MPN3849,North Coast — Mochica Belt,Tier 4 -- Marginal,0.2965,0.5066,0.488,0.5852,0.4024,0.9314,0.4344,0.74,1.37,8.2,0.56,9.37,83.94,149.73,Picsi,-6.788,-79.747
100,17L QL 49 74,17LQL4974,North Coast — Mochica Belt,Tier 4 -- Marginal,0.2958,0.5292,0.519,0.5589,0.439,0.9279,0.4817,0.89,1.44,6.32,0.01,42.26,24.78,239.62,Viru,-8.363,-78.73
101,18K ZG 08 97,18KZG0897,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2958,0.4683,0.4333,0.6317,0.7736,0.0307,0.8569,0.97,41.79,11.88,0.09,61.37,33.09,78.68,El Pedregal,-16.288,-72.113
102,18K ZG 10 94,18KZG1094,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2953,0.47,0.4373,0.6283,0.7742,0.0271,0.8763,1.17,43.31,11.66,0.09,58.93,30.08,75.68,El Pedregal,-16.315,-72.095
103,18L VJ 79 88,18LVJ7988,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2944,0.4945,0.4761,0.5953,0.1724,0.9277,0.1817,0.51,1.45,4.4,2.02,39.02,86.6,146.42,Palpa,-14.573,-75.189
104,18L VJ 76 82,18LVJ7682,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2942,0.4645,0.4314,0.6333,0.1035,0.9556,0.11,0.6,0.89,10.89,0.28,37.19,80.86,147.71,Palpa,-14.627,-75.216
105,18L VJ 81 89,18LVJ8189,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2936,0.4981,0.4829,0.5895,0.1937,0.8956,0.2074,0.66,2.09,3.72,2.27,38.47,87.5,147.42,Palpa,-14.564,-75.171
106,18L VJ 80 89,18LVJ8089,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2934,0.5077,0.4966,0.5779,0.1836,0.9419,0.2096,1.24,1.16,3.43,2.01,39.11,87.54,146.63,Palpa,-14.564,-75.18
107,18L VJ 77 83,18LVJ7783,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2923,0.4599,0.4288,0.6355,0.1077,0.9293,0.1189,0.94,1.41,9.66,0.79,37.04,81.76,147.86,Palpa,-14.618,-75.207
108,18L VJ 80 87,18LVJ8087,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2918,0.4724,0.4499,0.6176,0.1639,0.8666,0.1734,0.54,2.67,5.41,2.24,37.63,85.55,147.79,Palpa,-14.582,-75.18
109,18L VJ 82 89,18LVJ8289,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2887,0.4753,0.4618,0.6075,0.1761,0.848,0.1932,0.88,3.04,4.22,2.65,37.85,87.47,148.22,Palpa,-14.564,-75.162
110,18L YL 62 42,18LYL6242,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2886,0.5548,0.5646,0.5201,0.4193,0.832,0.4846,1.35,3.36,6.12,0.05,6.03,51.3,89.88,Machupicchu,-13.175,-72.577
111,18L YL 61 43,18LYL6143,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2877,0.523,0.5293,0.5501,0.3851,0.8026,0.4193,0.82,3.95,6.8,0.56,6.67,51.66,88.54,Machupicchu,-13.166,-72.586
112,18L YL 62 41,18LYL6241,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2874,0.5167,0.522,0.5563,0.3779,0.8024,0.4013,0.58,3.95,6.54,0.94,6.48,50.45,90.76,Machupicchu,-13.184,-72.577
113,18K ZG 07 93,18KZG0793,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2861,0.4674,0.4564,0.6121,0.7788,0.0346,0.8303,0.62,40.36,8.65,0.57,61.63,32.41,74.69,El Pedregal,-16.324,-72.122
114,18L VJ 76 83,18LVJ7683,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.2861,0.4632,0.4498,0.6177,0.089,0.9758,0.1017,1.25,0.48,9.94,0.09,37.8,81.85,147.09,Palpa,-14.618,-75.216
115,18L YL 61 44,18LYL6144,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2851,0.5196,0.531,0.5486,0.3679,0.8047,0.4367,1.57,3.91,6.7,0.58,6.54,52.53,87.65,Machupicchu,-13.157,-72.586
116,18L WJ 10 56,18LWJ1056,South Desert — Nazca-Palpa-Ica,Tier 4 -- Marginal,0.285,0.4624,0.4514,0.6163,0.5458,0.0254,0.5953,0.83,44.09,5.96,3.88,6.26,59.14,191.04,Nazca,-14.87,-74.901
117,18K ZG 07 96,18KZG0796,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2839,0.4603,0.4508,0.6168,0.7458,0.0337,0.8717,1.44,40.69,10.49,0.04,62.12,33.53,77.69,El Pedregal,-16.297,-72.122
118,18L YL 62 45,18LYL6245,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2835,0.5487,0.5686,0.5167,0.3781,0.8396,0.5352,2.93,3.21,5.78,0.21,5.6,53.88,87.24,Machupicchu,-13.148,-72.577
119,17L QL 50 74,17LQL5074,North Coast — Mochica Belt,Tier 4 -- Marginal,0.2835,0.4962,0.5042,0.5714,0.3886,0.9125,0.4269,0.9,1.75,6.77,0.22,43.02,24.57,239.25,Viru,-8.363,-78.721
120,18L YL 63 40,18LYL6340,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2831,0.4896,0.4962,0.5782,0.3235,0.7926,0.3885,1.67,4.15,6.32,1.94,6.31,50.13,92.1,Machupicchu,-13.193,-72.568
121,19K BB 65 30,19KBB6530,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2825,0.3045,0.0848,0.9279,0.0,0.9788,0.0007,6.94,0.42,43.11,11.25,43.49,50.03,96.64,Torata,-16.9,-71.204
122,19K BB 66 30,19KBB6630,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2816,0.3028,0.0822,0.9301,0.0,0.9734,0.0006,7.08,0.53,42.26,11.63,42.86,49.14,97.6,Torata,-16.9,-71.195
123,19K BB 39 18,19KBB3918,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2806,0.3069,0.101,0.9142,0.0,0.9831,0.0,11.38,0.34,34.47,10.61,58.66,52.15,70.19,Cocachacra,-16.999,-71.447
124,18K ZG 10 93,18KZG1093,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2802,0.4378,0.4235,0.64,0.725,0.0272,0.7928,0.86,43.23,11.24,0.62,58.78,29.71,74.68,El Pedregal,-16.324,-72.095
125,17L QL 50 73,17LQL5073,North Coast — Mochica Belt,Tier 4 -- Marginal,0.279,0.5029,0.5239,0.5547,0.4275,0.8683,0.4556,0.62,2.63,5.92,0.1,43.67,23.59,240.18,Viru,-8.372,-78.721
126,18K ZG 11 95,18KZG1195,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2759,0.4244,0.4118,0.65,0.7074,0.0245,0.7559,0.64,44.49,13.5,0.28,58.35,30.07,77.71,El Pedregal,-16.297,-72.086
127,18K ZG 09 98,18KZG0998,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2752,0.424,0.413,0.649,0.6978,0.028,0.7697,0.93,42.91,13.26,0.26,60.65,32.7,79.68,El Pedregal,-16.279,-72.104
128,19K BB 38 18,19KBB3818,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2734,0.3023,0.1126,0.9043,0.0,0.9677,0.0,10.44,0.65,33.56,9.67,59.55,51.3,69.24,Cocachacra,-16.999,-71.456
129,18L VL 03 62,18LVL0362,Central Coast — Lima Valley,Tier 4 -- Marginal,0.2711,0.363,0.2978,0.7469,0.0372,0.9657,0.0403,0.77,0.69,46.56,0.31,53.01,47.55,98.8,Nuevo Imperial,-13.002,-75.894
130,18L VL 02 63,18LVL0263,Central Coast — Lima Valley,Tier 4 -- Marginal,0.2696,0.3584,0.2915,0.7522,0.0338,0.9579,0.0365,0.76,0.84,45.8,0.5,53.42,47.25,99.29,Nuevo Imperial,-12.993,-75.903
131,18L VL 03 63,18LVL0363,Central Coast — Lima Valley,Tier 4 -- Marginal,0.2691,0.3581,0.2923,0.7515,0.0376,0.9494,0.0398,0.56,1.01,46.75,0.46,53.89,48.07,99.7,Nuevo Imperial,-12.993,-75.894
132,18L YL 61 45,18LYL6145,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2677,0.4918,0.536,0.5444,0.313,0.7944,0.4178,2.51,4.11,6.75,0.41,6.57,53.41,86.77,Machupicchu,-13.148,-72.586
133,18K ZG 11 93,18KZG1193,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2637,0.404,0.4086,0.6527,0.6693,0.025,0.7214,0.72,44.27,12.52,0.66,57.99,29.2,75.71,El Pedregal,-16.315,-72.086
134,18L YL 62 46,18LYL6246,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2621,0.4935,0.5516,0.5311,0.292,0.8133,0.4488,3.49,3.73,6.01,0.51,5.81,54.75,86.37,Machupicchu,-13.139,-72.577
135,19L AF 77 08,19LAF7708,Highlands — Cusco / Inca Heartland,Tier 4 -- Marginal,0.2616,0.4711,0.523,0.5554,0.3725,0.7316,0.3995,0.68,5.37,5.96,1.45,5.53,81.33,92.83,Wanchaq,-13.472,-71.974
136,18K ZG 11 96,18KZG1196,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2601,0.3933,0.3983,0.6614,0.6395,0.0243,0.7298,1.24,44.63,14.07,0.5,58.56,30.54,78.71,El Pedregal,-16.288,-72.086
137,18K ZG 11 97,18KZG1197,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.259,0.3828,0.3805,0.6766,0.6293,0.0239,0.6874,0.85,44.79,14.69,0.85,58.78,31.03,79.71,El Pedregal,-16.279,-72.086
138,18K ZG 06 95,18KZG0695,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2578,0.4218,0.4575,0.6111,0.683,0.0369,0.7753,1.19,39.6,9.1,0.34,62.89,34.02,76.72,El Pedregal,-16.306,-72.131
139,18K ZG 07 97,18KZG0797,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2578,0.4011,0.4203,0.6427,0.6327,0.0332,0.7791,1.88,40.85,11.21,0.64,62.31,33.95,78.69,El Pedregal,-16.288,-72.122
140,18K ZG 06 94,18KZG0694,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2566,0.428,0.4711,0.5996,0.7026,0.0372,0.7642,0.81,39.49,8.44,0.23,62.73,33.65,75.71,El Pedregal,-16.315,-72.131
141,18K ZG 08 98,18KZG0898,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2514,0.386,0.4101,0.6514,0.6132,0.0303,0.7367,1.68,41.97,12.6,0.51,61.59,33.55,79.68,El Pedregal,-16.279,-72.113
142,18K YG 67 90,18KYG6790,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2514,0.324,0.2638,0.7758,0.0,0.9945,0.0001,9.69,0.11,32.88,1.76,82.84,71.32,82.99,El Pedregal,-16.351,-72.5
143,18K ZG 10 92,18KZG1092,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2497,0.3818,0.4071,0.654,0.6319,0.0274,0.6678,0.54,43.18,10.89,1.24,58.64,29.36,73.68,El Pedregal,-16.333,-72.095
144,18K ZG 11 98,18KZG1198,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2496,0.3609,0.3627,0.6917,0.5949,0.0236,0.633,0.6,44.98,15.34,1.21,59.02,31.55,80.71,El Pedregal,-16.27,-72.086
145,18K ZG 08 92,18KZG0892,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2495,0.4148,0.4689,0.6014,0.6761,0.0321,0.7595,1.1,41.26,9.08,0.08,60.55,31.18,73.67,El Pedregal,-16.333,-72.113
146,18K YG 67 91,18KYG6791,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.247,0.3125,0.2465,0.7905,0.0,0.9556,0.0001,8.84,0.89,32.94,2.35,82.35,71.43,83.86,El Pedregal,-16.342,-72.5
147,18K ZG 06 96,18KZG0696,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2424,0.3818,0.4297,0.6348,0.598,0.0365,0.7363,1.88,39.74,9.83,0.86,63.06,34.41,77.72,El Pedregal,-16.297,-72.131
148,18K ZG 11 92,18KZG1192,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2406,0.3628,0.3961,0.6633,0.5934,0.0252,0.6489,0.86,44.19,12.13,1.16,57.83,28.81,74.71,El Pedregal,-16.324,-72.086
149,18K YG 67 89,18KYG6789,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2366,0.309,0.2756,0.7657,0.0,0.9445,0.0001,8.95,1.11,32.85,1.38,83.34,71.21,82.13,El Pedregal,-16.36,-72.5
150,18K YG 68 91,18KYG6891,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2366,0.3061,0.2673,0.7728,0.0,0.9347,0.0002,8.34,1.31,31.98,1.7,83.19,70.48,83.39,El Pedregal,-16.342,-72.491
151,18K ZG 06 97,18KZG0697,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2357,0.3591,0.4041,0.6565,0.57,0.036,0.6603,1.37,39.9,10.6,1.34,63.25,34.82,78.72,El Pedregal,-16.288,-72.131
152,18K YG 68 90,18KYG6890,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2342,0.3111,0.2907,0.7529,0.0,0.9517,0.0001,9.23,0.97,31.92,0.97,83.68,70.36,82.52,El Pedregal,-16.351,-72.491
153,18K ZG 09 99,18KZG0999,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2333,0.355,0.4032,0.6573,0.5686,0.0275,0.6547,1.32,43.1,13.99,0.34,60.88,33.2,80.68,El Pedregal,-16.27,-72.104
154,18K ZG 07 98,18KZG0798,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2302,0.3446,0.3905,0.6681,0.535,0.0328,0.6634,1.93,41.03,11.98,1.28,62.52,34.4,79.69,El Pedregal,-16.279,-72.122
155,18K ZG 07 92,18KZG0792,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2292,0.3871,0.4799,0.5921,0.6236,0.0348,0.7083,1.2,40.31,8.2,0.11,61.5,32.09,73.69,El Pedregal,-16.333,-72.122
156,18K YG 68 89,18KYG6889,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2247,0.3035,0.3056,0.7402,0.0,0.9267,0.0001,9.34,1.47,31.89,0.53,84.17,70.26,81.65,El Pedregal,-16.36,-72.491
157,18K ZG 12 98,18KZG1298,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2198,0.3256,0.3821,0.6752,0.5345,0.0218,0.5634,0.51,45.92,16.07,0.48,58.09,30.74,80.74,El Pedregal,-16.27,-72.077
158,19K CB 29 19,19KCB2919,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2197,0.3055,0.3304,0.7192,0.0,0.9923,0.0024,5.46,0.15,27.18,0.72,41.52,19.45,143.58,Torata,-16.999,-70.601
159,18K ZG 06 98,18KZG0698,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2171,0.3181,0.3736,0.6824,0.5037,0.0354,0.5644,1.07,40.08,11.4,2.03,63.46,35.25,79.72,El Pedregal,-16.279,-72.131
160,19K BA 66 58,19KBA6658,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.215,0.3018,0.3382,0.7125,0.0,0.9761,0.0,18.48,0.48,17.26,1.31,48.68,64.52,113.88,Ilo,-17.548,-71.204
161,19K AB 98 09,19KAB9809,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2149,0.3288,0.4075,0.6536,0.4266,0.2531,0.4514,0.55,16.49,8.18,3.32,79.67,16.77,30.51,Cocachacra,-17.08,-71.834
162,18K ZG 10 99,18KZG1099,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2149,0.3247,0.398,0.6617,0.5268,0.025,0.5693,0.75,44.25,15.37,0.16,60.2,32.9,81.69,El Pedregal,-16.261,-72.095
163,18K ZG 09 91,18KZG0991,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2132,0.3302,0.4169,0.6456,0.5322,0.0297,0.5851,0.9,42.19,9.69,1.39,59.47,29.96,72.67,El Pedregal,-16.342,-72.104
164,18K ZG 12 94,18KZG1294,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2122,0.321,0.3987,0.6611,0.5174,0.0229,0.5774,1.04,45.32,13.83,0.58,57.21,28.76,76.74,El Pedregal,-16.306,-72.077
165,19K BA 66 58,19KBA6658,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2106,0.3003,0.3513,0.7014,0.0,0.9713,0.0,19.26,0.57,18.07,0.75,48.12,63.66,114.69,Ilo,-17.548,-71.195
166,18K ZG 08 99,18KZG0899,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2103,0.3115,0.3822,0.6751,0.4746,0.0298,0.6102,2.22,42.17,13.36,1.11,61.81,34.03,80.68,El Pedregal,-16.27,-72.113
167,18K ZG 12 97,18KZG1297,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.21,0.3196,0.4035,0.657,0.5115,0.0221,0.5843,1.25,45.74,15.44,0.04,57.84,30.21,79.74,El Pedregal,-16.279,-72.077
168,18K ZG 12 99,18KZG1299,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2077,0.3053,0.3762,0.6802,0.4977,0.0214,0.5262,0.54,46.12,16.73,0.5,58.35,31.3,81.74,El Pedregal,-16.261,-72.077
169,18K ZG 11 92,18KZG1192,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.206,0.3167,0.4111,0.6506,0.5166,0.0253,0.5462,0.54,44.14,11.81,0.82,57.69,28.46,73.7,El Pedregal,-16.333,-72.086
170,18K ZG 12 95,18KZG1295,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2051,0.3161,0.4132,0.6488,0.4994,0.0227,0.5927,1.57,45.44,14.32,0.05,57.41,29.22,77.74,El Pedregal,-16.297,-72.077
171,18K ZG 05 96,18KZG0596,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2049,0.3177,0.4175,0.6451,0.4957,0.0394,0.5751,1.38,38.79,9.22,1.47,64.01,35.29,77.75,El Pedregal,-16.297,-72.14
172,18K ZG 12 96,18KZG1296,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.204,0.3068,0.3943,0.6648,0.4758,0.0224,0.5937,1.99,45.58,14.85,0.43,57.62,29.7,78.74,El Pedregal,-16.288,-72.077
173,18L UM 14 19,18LUM1419,Central Coast — Lima Valley,Tier 4 -- Marginal,0.2025,0.3592,0.5132,0.5638,0.2335,0.6662,0.2469,0.54,6.68,5.82,0.15,29.11,47.81,71.32,Chilca,-12.48,-76.704
174,19K AB 97 10,19KAB9710,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2016,0.2997,0.3849,0.6728,0.3853,0.2309,0.4116,0.64,17.59,9.29,3.75,79.15,15.62,29.3,Cocachacra,-17.071,-71.843
175,18K ZG 06 92,18KZG0692,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.2011,0.3371,0.4746,0.5966,0.5348,0.0377,0.6058,1.17,39.35,7.33,0.61,62.45,33.01,73.71,El Pedregal,-16.333,-72.131
176,18K ZG 05 95,18KZG0595,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1959,0.3144,0.4433,0.6232,0.4779,0.0399,0.6,2.04,38.65,8.44,1.01,63.83,34.91,76.75,El Pedregal,-16.306,-72.14
177,18K ZG 07 91,18KZG0791,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1949,0.3306,0.483,0.5895,0.5349,0.0349,0.5688,0.6,40.27,7.84,0.17,61.38,31.8,72.69,El Pedregal,-16.342,-72.122
178,18K ZG 05 94,18KZG0594,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1938,0.3203,0.4647,0.605,0.4964,0.0403,0.5893,1.58,38.54,7.72,0.7,63.68,34.55,75.75,El Pedregal,-16.315,-72.14
179,19K CB 00 05,19KCB0005,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1889,0.3385,0.52,0.558,0.0808,0.9448,0.0953,1.52,1.1,6.1,1.56,10.19,12.52,132.18,Torata,-17.125,-70.871
180,19K CB 00 06,19KCB0006,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1886,0.3507,0.5439,0.5377,0.1028,0.9474,0.1133,0.93,1.05,5.25,1.23,10.97,12.07,132.08,Torata,-17.116,-70.871
181,19K CB 01 05,19KCB0105,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1853,0.3311,0.5182,0.5595,0.0921,0.9006,0.105,1.23,1.99,5.7,1.84,10.85,11.7,133.14,Torata,-17.125,-70.862
182,19K BB 14 06,19KBB1406,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1846,0.3015,0.4562,0.6122,0.0,0.9608,0.0004,7.88,0.78,8.39,0.73,77.56,33.29,46.96,Cocachacra,-17.107,-71.681
183,19K BB 99 05,19KBB9905,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1845,0.3368,0.5321,0.5477,0.0618,0.9723,0.0795,2.22,0.55,6.61,0.92,9.59,13.37,131.23,Torata,-17.125,-70.88
184,19K BB 14 07,19KBB1407,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1833,0.3097,0.4802,0.5918,0.0,0.9877,0.0006,7.47,0.25,8.2,0.13,76.58,33.09,46.71,Cocachacra,-17.098,-71.681
185,19L CC 71 74,19LCC7174,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.182,0.2996,0.4619,0.6074,0.0,0.9692,0.0001,10.22,0.62,10.94,0.21,13.95,31.1,32.22,Atuncolla,-15.604,-70.196
186,19K CB 00 04,19KCB0004,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1817,0.3146,0.497,0.5776,0.0562,0.9088,0.0739,2.4,1.82,6.99,1.89,9.46,13.04,132.29,Torata,-17.134,-70.871
187,19K BB 15 07,19KBB1507,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.181,0.3001,0.4668,0.6032,0.0,0.9561,0.0003,8.37,0.88,9.15,0.11,76.38,34.04,47.64,Cocachacra,-17.098,-71.672
188,19K BB 99 06,19KBB9906,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1796,0.3459,0.5655,0.5193,0.0755,0.9778,0.0929,1.87,0.44,5.84,0.28,10.41,12.94,131.13,Torata,-17.116,-70.88
189,18K ZG 05 93,18KZG0593,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1781,0.304,0.487,0.586,0.4725,0.0406,0.544,1.31,38.45,7.06,0.36,63.53,34.23,74.75,El Pedregal,-16.324,-72.14
190,19K BB 99 04,19KBB9904,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1751,0.3127,0.5177,0.56,0.0451,0.9223,0.0636,2.9,1.55,7.45,1.04,8.81,13.85,131.34,Torata,-17.134,-70.88
191,19K BB 99 06,19KBB9906,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1719,0.3233,0.5509,0.5317,0.0502,0.9474,0.0699,2.82,1.05,6.51,0.35,9.91,13.82,130.18,Torata,-17.116,-70.889
192,19K CB 02 05,19KCB0205,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1711,0.3163,0.54,0.541,0.0895,0.8541,0.1061,1.56,2.92,5.44,1.29,11.54,10.9,134.09,Torata,-17.125,-70.853
193,19K CB 01 04,19KCB0104,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1705,0.3082,0.5258,0.5531,0.0621,0.8769,0.0799,2.23,2.46,6.65,1.11,10.17,12.26,133.24,Torata,-17.134,-70.862
194,19K BB 99 07,19KBB9907,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1688,0.3341,0.5821,0.5052,0.0813,0.9278,0.0984,1.74,1.44,5.13,0.11,11.26,12.57,131.04,Torata,-17.107,-70.88
195,19K BA 87 98,19KBA8798,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1686,0.3038,0.5237,0.5549,0.0,0.9806,0.0053,6.5,0.39,6.58,1.07,6.7,27.63,119.91,Moquegua,-17.188,-70.997
196,19K BB 99 07,19KBB9907,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1682,0.3151,0.5484,0.5339,0.054,0.9135,0.0728,2.59,1.73,5.89,0.64,10.8,13.48,130.08,Torata,-17.107,-70.889
197,19K BA 86 98,19KBA8698,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1681,0.2993,0.5155,0.5618,0.0,0.9663,0.0035,6.86,0.67,7.52,0.63,7.66,28.48,118.97,Moquegua,-17.188,-71.006
198,19K BB 99 05,19KBB9905,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.168,0.3183,0.5554,0.5279,0.0428,0.9448,0.0617,3.06,1.1,7.22,0.0,9.05,14.22,130.28,Torata,-17.125,-70.889
199,19K BB 99 04,19KBB9904,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1627,0.3023,0.5434,0.5381,0.0334,0.9088,0.0521,3.58,1.82,7.99,0.11,8.22,14.68,130.39,Torata,-17.134,-70.889
200,19K BB 99 08,19KBB9908,Far South — Arequipa-Moquegua,Tier 4 -- Marginal,0.1604,0.3003,0.548,0.5342,0.0521,0.8689,0.0686,2.39,2.62,5.39,0.84,11.7,13.21,129.99,Torata,-17.098,-70.889
