global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,composite_score_pre_modern_filter,modern_access_score,modern_penalty_factor,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,nearest_settlement_km,nearest_major_road_km,nearest_post_office_km,nearest_airport_km,nearest_port_km,nearest_settlement_name,lat_center,lon_center
24,18L WJ 10 53,18LWJ1053,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3531,0.5147,0.3694,0.686,0.6392,0.0216,0.7101,1.0,46.04,8.4,5.04,8.74,56.44,192.91,Nazca,-14.897,-74.901
25,18L VJ 68 80,18LVJ6880,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.353,0.4876,0.3247,0.724,0.1537,0.9489,0.1709,1.01,1.02,16.58,1.9,42.64,80.06,143.0,Palpa,-14.645,-75.288
26,18L WJ 49 12,18LWJ4912,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3518,0.4697,0.2954,0.7489,0.1579,0.899,0.1923,1.79,2.02,19.21,2.33,64.85,64.68,248.87,Acari,-15.266,-74.541
27,18L WJ 10 55,18LWJ1055,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3497,0.5446,0.4209,0.6422,0.6935,0.0241,0.7542,0.8,44.73,6.72,4.37,7.04,58.24,191.66,Nazca,-14.879,-74.901
28,18L VJ 68 81,18LVJ6881,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3492,0.4738,0.3093,0.7371,0.15,0.9112,0.1665,0.99,1.78,15.85,2.64,43.13,81.04,142.35,Palpa,-14.636,-75.288
29,18L WJ 48 11,18LWJ4811,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3475,0.4812,0.3268,0.7222,0.2005,0.8613,0.2295,1.26,2.77,17.91,1.54,64.98,63.59,248.79,Acari,-15.275,-74.55
30,18L VJ 72 78,18LVJ7278,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3468,0.483,0.3317,0.7181,0.1541,0.9271,0.1634,0.57,1.46,16.07,1.8,38.28,77.4,147.25,Palpa,-14.663,-75.252
31,18L VJ 68 79,18LVJ6879,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3462,0.4885,0.3427,0.7087,0.1513,0.9516,0.1759,1.4,0.97,17.34,1.15,42.17,79.08,143.66,Palpa,-14.654,-75.288
32,18L VJ 72 77,18LVJ7277,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3459,0.4655,0.3024,0.743,0.1487,0.8774,0.1583,0.61,2.45,16.97,2.6,37.81,76.41,147.9,Palpa,-14.672,-75.252
33,18L VJ 73 77,18LVJ7377,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3444,0.4694,0.3133,0.7337,0.1568,0.8722,0.1694,0.74,2.56,16.58,2.3,36.96,76.26,148.63,Palpa,-14.672,-75.243
34,18L WJ 48 10,18LWJ4810,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3438,0.4731,0.3217,0.7266,0.2174,0.8113,0.2318,0.62,3.77,16.99,1.91,65.75,63.46,249.45,Acari,-15.284,-74.55
35,18L WJ 48 12,18LWJ4812,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3437,0.4729,0.3214,0.7268,0.1548,0.9112,0.1944,2.04,1.78,18.84,1.52,64.22,63.73,248.14,Acari,-15.266,-74.55
36,18L VJ 67 79,18LVJ6779,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3423,0.4586,0.2984,0.7464,0.1539,0.8586,0.1637,0.6,2.83,18.63,2.33,43.9,79.5,142.21,Palpa,-14.654,-75.306
37,18L WJ 50 10,18LWJ5010,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3418,0.4823,0.3427,0.7087,0.2478,0.7881,0.2657,0.67,4.24,17.85,1.05,66.99,63.82,250.91,Acari,-15.284,-74.532
38,18L VJ 72 79,18LVJ7279,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3411,0.4925,0.3616,0.6926,0.1432,0.9753,0.161,1.11,0.49,15.18,1.07,38.77,78.39,146.6,Palpa,-14.654,-75.252
39,18L VJ 69 80,18LVJ6980,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3406,0.4843,0.3491,0.7033,0.1306,0.9717,0.1613,1.9,0.57,15.95,1.26,41.79,79.87,143.74,Palpa,-14.645,-75.279
40,18L WJ 50 11,18LWJ5011,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3394,0.4747,0.3354,0.7149,0.2084,0.8311,0.2327,1.04,3.38,18.73,1.1,66.24,64.73,250.26,Acari,-15.275,-74.532
41,18L VJ 73 79,18LVJ7379,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3382,0.4929,0.3692,0.6862,0.1557,0.9563,0.1646,0.54,0.87,14.74,0.95,37.94,78.24,147.34,Palpa,-14.654,-75.243
42,18L VJ 69 81,18LVJ6981,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3374,0.4678,0.328,0.7212,0.1282,0.9221,0.1582,1.89,1.56,15.19,2.16,42.29,80.86,143.09,Palpa,-14.636,-75.279
43,18L WJ 09 53,18LWJ0953,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3361,0.5059,0.3949,0.6643,0.6129,0.0229,0.7139,1.41,45.32,7.97,4.25,8.33,56.02,192.16,Nazca,-14.897,-74.91
44,18K ZG 08 96,18KZG0896,Far South — Arequipa-Moquegua,Tier 3 -- Low Priority,0.3356,0.5206,0.418,0.6447,0.8683,0.0311,0.9523,0.88,41.64,11.2,0.74,61.18,32.65,77.68,El Pedregal,-16.297,-72.113
45,18L VJ 74 77,18LVJ7477,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3344,0.4709,0.3411,0.7101,0.1708,0.8507,0.1808,0.56,2.99,16.25,1.45,36.1,76.12,149.37,Palpa,-14.672,-75.234
46,18L VJ 69 79,18LVJ6979,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.334,0.4856,0.3672,0.6879,0.1271,0.9772,0.1663,2.35,0.46,16.74,0.55,41.31,78.89,144.39,Palpa,-14.654,-75.279
47,17L QL 48 74,17LQL4874,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.3333,0.5486,0.4616,0.6076,0.5061,0.8776,0.533,0.51,2.45,5.86,1.97,40.78,25.32,240.38,Viru,-8.363,-78.748
48,18K ZG 09 94,18KZG0994,Far South — Arequipa-Moquegua,Tier 3 -- Low Priority,0.3321,0.5343,0.4453,0.6215,0.8976,0.0293,0.9712,0.76,42.36,10.82,0.12,59.88,30.97,75.67,El Pedregal,-16.315,-72.104
49,18L WJ 48 13,18LWJ4813,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3321,0.458,0.3234,0.7251,0.0993,0.9612,0.141,2.95,0.78,19.78,1.28,63.46,63.88,247.49,Acari,-15.257,-74.55
50,18L VJ 70 77,18LVJ7077,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3314,0.4577,0.3246,0.7241,0.1408,0.8666,0.1572,1.04,2.67,17.87,1.61,39.54,76.74,146.44,Palpa,-14.672,-75.27
51,18L VJ 68 78,18LVJ6878,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3311,0.4783,0.362,0.6923,0.1528,0.916,0.1732,1.18,1.68,18.12,0.43,41.72,78.1,144.32,Palpa,-14.663,-75.288
52,18L YL 68 39,18LYL6839,Highlands — Cusco / Inca Heartland,Tier 3 -- Low Priority,0.331,0.5349,0.4485,0.6188,0.4494,0.725,0.5016,1.04,5.5,5.17,5.12,5.34,52.2,95.35,Machupicchu,-13.202,-72.523
53,18L VJ 71 78,18LVJ7178,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.331,0.468,0.3444,0.7073,0.1355,0.9068,0.1577,1.41,1.86,16.52,1.28,39.13,77.56,146.51,Palpa,-14.663,-75.261
54,18L WJ 11 53,18LWJ1153,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3297,0.4672,0.3462,0.7057,0.5564,0.0203,0.6213,1.05,46.76,8.91,5.73,9.24,56.88,193.66,Nazca,-14.897,-74.892
55,18L WJ 07 54,18LWJ0754,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3289,0.5293,0.4454,0.6214,0.6535,0.0273,0.7402,1.17,43.23,6.45,3.58,6.82,56.11,190.03,Nazca,-14.888,-74.928
56,18L YL 65 40,18LYL6540,Highlands — Cusco / Inca Heartland,Tier 3 -- Low Priority,0.3275,0.586,0.519,0.5589,0.4868,0.8169,0.5513,1.17,3.66,5.02,2.38,5.07,51.24,93.03,Machupicchu,-13.193,-72.55
57,18L VJ 70 78,18LVJ7078,South Desert — Nazca-Palpa-Ica,Tier 3 -- Low Priority,0.3261,0.4678,0.3564,0.6971,0.1329,0.9101,0.1602,1.71,1.8,17.02,0.8,39.99,77.73,145.78,Palpa,-14.663,-75.27
