global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,lat_center,lon_center
162,18L VJ 77 94,18LVJ7794,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5263,0.2158,0.962,0.2296,0.6,0.76,-14.519,-75.207
163,17L QL 49 72,17LQL4972,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5257,0.4859,0.828,0.5326,0.88,3.44,-8.381,-78.73
164,18L TM 75 66,18LTM7566,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5255,0.4651,0.8114,0.4999,0.69,3.77,-12.057,-77.064
165,18L TM 72 69,18LTM7269,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.5246,0.5463,0.6508,0.602,0.93,6.98,-12.03,-77.091
166,17L QL 48 70,17LQL4870,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5239,0.5416,0.7236,0.5811,0.68,5.53,-8.399,-78.739
167,18L VJ 79 90,18LVJ7990,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5234,0.1987,0.9717,0.2207,1.0,0.57,-14.555,-75.189
168,18L YL 61 43,18LYL6143,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.523,0.3851,0.8026,0.4193,0.82,3.95,-13.166,-72.586
169,18L VJ 79 92,18LVJ7992,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5207,0.2425,0.8887,0.2555,0.51,2.23,-14.537,-75.189
170,17L QL 47 72,17LQL4772,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5206,0.4983,0.7729,0.5764,1.36,4.54,-8.381,-78.757
171,18K ZG 08 96,18KZG0896,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.5206,0.8683,0.0311,0.9523,0.88,41.64,-16.297,-72.113
172,19L AF 79 07,19LAF7907,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5203,0.4521,0.7478,0.4865,0.71,5.04,-13.481,-71.956
173,17L QL 48 75,17LQL4875,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5199,0.4362,0.8987,0.4857,1.02,2.03,-8.354,-78.748
174,17L QM 10 04,17LQM1004,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5198,0.561,0.668,0.6183,0.93,6.64,-8.093,-79.09
175,18L YL 61 44,18LYL6144,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5196,0.3679,0.8047,0.4367,1.57,3.91,-13.157,-72.586
176,17M PN 45 19,17MPN4519,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5194,0.7085,0.3702,0.8251,1.41,11.93,-7.058,-79.684
177,18L VJ 80 91,18LVJ8091,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5192,0.2272,0.9055,0.2468,0.79,1.89,-14.546,-75.18
178,19L AF 76 07,19LAF7607,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.518,0.4086,0.7741,0.5291,2.28,4.52,-13.481,-71.992
179,17L QM 19 03,17LQM1903,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5177,0.4317,0.8841,0.5159,1.63,2.32,-8.102,-79.009
180,17L QM 20 02,17LQM2002,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5176,0.4749,0.8242,0.5198,0.86,3.52,-8.111,-79.0
181,17L QL 19 99,17LQL1999,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5171,0.502,0.7596,0.5736,1.25,4.81,-8.138,-79.009
182,18L VJ 78 95,18LVJ7895,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5168,0.2065,0.9435,0.2257,0.85,1.13,-14.51,-75.198
183,18L YL 62 41,18LYL6241,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5167,0.3779,0.8024,0.4013,0.58,3.95,-13.184,-72.577
184,18L YL 70 42,18LYL7042,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5159,0.4023,0.743,0.4656,1.36,5.14,-13.175,-72.505
185,17M PN 48 13,17MPN4813,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5157,0.4985,0.7308,0.6385,2.19,5.38,-7.112,-79.657
186,18L VJ 79 91,18LVJ7991,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5148,0.2075,0.9221,0.2409,1.39,1.56,-14.546,-75.189
187,18L WJ 10 53,18LWJ1053,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5147,0.6392,0.0216,0.7101,1.0,46.04,-14.897,-74.901
188,17L QL 49 75,17LQL4975,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5134,0.382,0.9778,0.4287,1.09,0.44,-8.354,-78.73
189,19L AF 82 05,19LAF8205,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5127,0.4646,0.7011,0.501,0.73,5.98,-13.499,-71.929
190,18L VJ 78 92,18LVJ7892,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5117,0.2156,0.905,0.2388,0.97,1.9,-14.537,-75.198
191,17L QL 49 71,17LQL4971,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5111,0.4873,0.778,0.5319,0.84,4.44,-8.39,-78.73
192,17L QM 10 05,17LQM1005,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5104,0.5394,0.6586,0.6323,1.47,6.83,-8.084,-79.09
193,18K ZG 07 95,18KZG0795,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.5104,0.8527,0.0341,0.9197,0.73,40.56,-16.306,-72.122
194,18L YL 70 40,18LYL7040,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5102,0.4238,0.6956,0.4673,0.93,6.09,-13.193,-72.505
195,18L WJ 05 58,18LWJ0558,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5092,0.604,0.0384,0.7179,1.59,39.11,-14.852,-74.946
196,17L QM 18 04,17LQM1804,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5091,0.3856,0.9235,0.5032,2.34,1.53,-8.093,-79.018
197,17L QL 47 73,17LQL4773,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5089,0.4552,0.8079,0.5429,1.62,3.84,-8.372,-78.757
198,18L VJ 77 95,18LVJ7795,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5089,0.1964,0.933,0.2249,1.27,1.34,-14.51,-75.207
199,18L VJ 80 89,18LVJ8089,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5077,0.1836,0.9419,0.2096,1.24,1.16,-14.564,-75.18
200,17L QL 47 69,17LQL4769,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5071,0.5408,0.6633,0.5923,0.87,6.73,-8.408,-78.748
201,18L VJ 78 91,18LVJ7891,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5068,0.2048,0.9112,0.2207,0.72,1.78,-14.546,-75.198
202,17M PN 38 49,17MPN3849,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5066,0.4024,0.9314,0.4344,0.74,1.37,-6.788,-79.747
203,18L WJ 09 53,18LWJ0953,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5059,0.6129,0.0229,0.7139,1.41,45.32,-14.897,-74.91
204,18L YL 68 45,18LYL6845,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5055,0.3165,0.8396,0.4244,2.54,3.21,-13.148,-72.523
205,17M PN 38 48,17MPN3848,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5054,0.3732,0.9765,0.4135,0.97,0.47,-6.797,-79.747
206,17L QM 17 05,17LQM1705,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5051,0.3901,0.9097,0.4919,2.07,1.81,-8.084,-79.027
207,18L VJ 78 90,18LVJ7890,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.505,0.1789,0.9488,0.2005,1.08,1.02,-14.555,-75.198
208,17L QL 18 99,17LQL1899,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5049,0.4677,0.779,0.5447,1.41,4.42,-8.138,-79.018
209,17L QL 15 99,17LQL1599,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5048,0.4681,0.7736,0.5543,1.56,4.53,-8.138,-79.045
210,17M PN 48 16,17MPN4816,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5045,0.6296,0.4982,0.6796,0.74,8.36,-7.085,-79.657
211,17M PN 44 19,17MPN4419,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5042,0.6754,0.3596,0.833,1.89,12.27,-7.058,-79.693
212,17M PN 37 49,17MPN3749,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5031,0.3973,0.9256,0.4362,0.89,1.49,-6.788,-79.756
213,17L QL 50 73,17LQL5073,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5029,0.4275,0.8683,0.4556,0.62,2.63,-8.372,-78.721
214,17L QM 16 06,17LQM1606,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5024,0.4263,0.8574,0.482,1.16,2.85,-8.075,-79.036
215,17L QL 16 99,17LQL1699,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5016,0.4535,0.7865,0.5459,1.69,4.27,-8.138,-79.036
216,18L VJ 79 95,18LVJ7995,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5012,0.1922,0.9189,0.2049,0.62,1.62,-14.51,-75.189
217,17L QL 49 76,17LQL4976,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.5004,0.3843,0.9433,0.4049,0.51,1.13,-8.345,-78.739
218,18L VJ 78 89,18LVJ7889,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5001,0.1709,0.9516,0.1812,0.57,0.97,-14.564,-75.198
219,17L QL 47 74,17LQL4774,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4999,0.4276,0.8351,0.5023,1.49,3.3,-8.363,-78.757
220,17L QL 46 69,17LQL4669,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4996,0.5267,0.6682,0.5696,0.75,6.64,-8.408,-78.757
221,18L YL 65 39,18LYL6539,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4991,0.3597,0.7669,0.4119,1.27,4.66,-13.202,-72.55
222,17L QM 14 07,17LQM1407,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4987,0.4641,0.7698,0.5319,1.28,4.6,-8.066,-79.054
223,18K ZG 08 93,18KZG0893,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.4986,0.8342,0.032,0.8963,0.69,41.32,-16.324,-72.113
224,17M PN 26 79,17MPN2679,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4985,0.7461,0.2668,0.7938,0.6,15.86,-6.518,-79.855
225,18L VJ 81 89,18LVJ8189,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4981,0.1937,0.8956,0.2074,0.66,2.09,-14.564,-75.171
226,18L YL 69 44,18LYL6944,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4976,0.321,0.8047,0.4325,2.58,3.91,-13.157,-72.514
227,18L VJ 77 92,18LVJ7792,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4974,0.1974,0.8984,0.2089,0.55,2.03,-14.537,-75.207
228,18K ZG 10 95,18KZG1095,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.497,0.8303,0.0268,0.9069,0.84,43.41,-16.306,-72.095
229,18L YL 69 39,18LYL6939,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4964,0.387,0.6964,0.4707,1.78,6.07,-13.202,-72.514
230,17L QL 46 71,17LQL4671,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4963,0.5063,0.7027,0.5334,0.51,5.95,-8.39,-78.766
231,17L QL 50 74,17LQL5074,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4962,0.3886,0.9125,0.4269,0.9,1.75,-8.363,-78.721
232,18L VJ 80 94,18LVJ8094,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4961,0.1943,0.8924,0.2126,0.86,2.15,-14.519,-75.18
233,18L TM 74 61,18LTM7461,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4949,0.489,0.6288,0.5966,1.8,7.42,-12.102,-77.073
234,18L VJ 79 88,18LVJ7988,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4945,0.1724,0.9277,0.1817,0.51,1.45,-14.573,-75.189
235,17L QM 13 07,17LQM1307,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.494,0.4616,0.7383,0.5708,1.91,5.23,-8.066,-79.063
236,19L AF 78 00,19LAF7800,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.494,0.3423,0.8629,0.3755,0.88,2.74,-13.544,-71.974
237,18L TM 73 69,18LTM7369,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4935,0.4674,0.6967,0.5123,0.88,6.07,-12.03,-77.082
238,18L YL 62 46,18LYL6246,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4935,0.292,0.8133,0.4488,3.49,3.73,-13.139,-72.577
239,19L AF 82 00,19LAF8200,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4933,0.4304,0.6943,0.4802,1.04,6.11,-13.544,-71.929
240,18L VJ 73 79,18LVJ7379,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4929,0.1557,0.9563,0.1646,0.54,0.87,-14.654,-75.243
241,18L TM 71 69,18LTM7169,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4927,0.5046,0.6042,0.5941,1.51,7.92,-12.03,-77.1
242,18L ZL 24 02,18LZL2402,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4926,0.3281,0.8819,0.3611,0.91,2.36,-13.526,-72.001
243,18L VJ 72 79,18LVJ7279,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4925,0.1432,0.9753,0.161,1.11,0.49,-14.654,-75.252
244,18L VJ 81 92,18LVJ8192,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4922,0.2162,0.8366,0.2319,0.68,3.27,-14.537,-75.171
245,18L YL 61 45,18LYL6145,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4918,0.313,0.7944,0.4178,2.51,4.11,-13.148,-72.586
246,18L VJ 80 88,18LVJ8088,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.491,0.1721,0.91,0.1907,0.98,1.8,-14.573,-75.18
247,18L YL 67 46,18LYL6746,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.491,0.2935,0.8482,0.3685,2.04,3.04,-13.139,-72.532
248,18L WJ 07 58,18LWJ0758,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4906,0.5784,0.034,0.6612,1.25,40.58,-14.852,-74.928
249,18L YL 63 40,18LYL6340,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4896,0.3235,0.7926,0.3885,1.67,4.15,-13.193,-72.568
250,17M PN 46 13,17MPN4613,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4895,0.4894,0.7001,0.55,1.1,6.0,-7.112,-79.675
251,18L VJ 77 96,18LVJ7796,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4895,0.1893,0.888,0.2066,0.84,2.24,-14.501,-75.207
252,18L WJ 49 11,18LWJ4911,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4888,0.2224,0.8531,0.2413,0.79,2.94,-15.275,-74.541
253,18L VJ 68 79,18LVJ6879,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4885,0.1513,0.9516,0.1759,1.4,0.97,-14.654,-75.288
254,18L TM 71 64,18LTM7164,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4883,0.5524,0.5096,0.6251,1.16,8.09,-12.075,-77.1
255,17L QL 17 99,17LQL1799,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4882,0.4227,0.7885,0.5349,2.1,4.23,-8.138,-79.027
256,19L AF 83 01,19LAF8301,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.488,0.4222,0.6657,0.5249,1.96,6.69,-13.535,-71.92
257,17M PN 25 79,17MPN2579,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4878,0.7311,0.2579,0.7799,0.63,16.26,-6.518,-79.864
258,17L QL 48 69,17LQL4869,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4877,0.4952,0.6743,0.562,1.19,6.51,-8.408,-78.739
259,18L VJ 68 80,18LVJ6880,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4876,0.1537,0.9489,0.1709,1.01,1.02,-14.645,-75.288
260,17M PN 44 16,17MPN4416,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4875,0.6136,0.4502,0.7053,1.3,9.58,-7.085,-79.693
261,18L VJ 76 94,18LVJ7694,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4873,0.1679,0.9139,0.1973,1.49,1.72,-14.519,-75.216
262,18L VJ 72 80,18LVJ7280,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4872,0.1387,0.9702,0.1497,0.73,0.6,-14.645,-75.252
263,17L QM 10 03,17LQM1003,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4863,0.5002,0.6701,0.5524,0.94,6.6,-8.102,-79.09
264,17L QL 49 70,17LQL4970,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4861,0.4671,0.7281,0.5186,0.99,5.44,-8.399,-78.73
265,18L TM 76 64,18LTM7664,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.486,0.3901,0.8059,0.446,1.25,3.88,-12.075,-77.055
266,18L VJ 76 93,18LVJ7693,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4857,0.175,0.9032,0.1867,0.63,1.94,-14.528,-75.216
267,18L VJ 69 79,18LVJ6979,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4856,0.1271,0.9772,0.1663,2.35,0.46,-14.654,-75.279
268,18L TM 76 63,18LTM7663,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4855,0.4041,0.7676,0.4817,1.61,4.65,-12.084,-77.055
269,17M PN 25 80,17MPN2580,North Coast — Mochica Belt,Tier 2 — Medium Priority,0.4851,0.7365,0.2391,0.7851,0.62,17.17,-6.509,-79.864
270,18L TM 74 68,18LTM7468,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4847,0.4103,0.7588,0.4806,1.46,4.82,-12.039,-77.073
271,18L VJ 69 80,18LVJ6980,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4843,0.1306,0.9717,0.1613,1.9,0.57,-14.645,-75.279
272,18L TM 75 61,18LTM7561,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4841,0.4567,0.6574,0.5527,1.74,6.85,-12.102,-77.064
273,18L VJ 72 78,18LVJ7278,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.483,0.1541,0.9271,0.1634,0.57,1.46,-14.663,-75.252
274,18L VJ 81 88,18LVJ8188,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4827,0.1766,0.875,0.1897,0.69,2.5,-14.573,-75.171
275,18L WJ 50 10,18LWJ5010,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4823,0.2478,0.7881,0.2657,0.67,4.24,-15.284,-74.532
276,18L VJ 82 90,18LVJ8290,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.482,0.1901,0.8471,0.2047,0.71,3.06,-14.555,-75.162
277,19L AF 81 06,19LAF8106,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4819,0.385,0.7188,0.4708,1.82,5.62,-13.49,-71.938
278,18L VJ 76 95,18LVJ7695,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4817,0.1646,0.8977,0.2029,1.89,2.05,-14.51,-75.216
279,18L WJ 48 11,18LWJ4811,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4812,0.2005,0.8613,0.2295,1.26,2.77,-15.275,-74.55
280,18L VJ 73 80,18LVJ7380,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.481,0.1362,0.9533,0.1457,0.65,0.93,-14.645,-75.243
281,18L VJ 68 80,18LVJ6880,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4802,0.1676,0.9046,0.1769,0.53,1.91,-14.645,-75.297
282,18L VJ 78 96,18LVJ7896,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4789,0.1625,0.894,0.1913,1.51,2.12,-14.501,-75.198
283,18L VJ 68 78,18LVJ6878,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4783,0.1528,0.916,0.1732,1.18,1.68,-14.663,-75.288
284,18L VJ 77 90,18LVJ7790,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4779,0.1562,0.9046,0.1728,0.96,1.91,-14.555,-75.207
285,18L VJ 76 96,18LVJ7696,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4773,0.1805,0.864,0.2006,1.0,2.72,-14.501,-75.216
286,18L TM 76 65,18LTM7665,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4765,0.3642,0.8378,0.3883,0.62,3.24,-12.066,-77.055
287,18L TM 76 62,18LTM7662,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4764,0.4124,0.7255,0.4831,1.46,5.49,-12.093,-77.055
288,18L YL 64 47,18LYL6447,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4757,0.2699,0.8265,0.3652,2.61,3.47,-13.13,-72.559
289,18L VJ 74 79,18LVJ7479,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4756,0.1452,0.9113,0.1632,1.1,1.77,-14.654,-75.234
290,18L VJ 82 89,18LVJ8289,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4753,0.1761,0.848,0.1932,0.88,3.04,-14.564,-75.162
291,18L WJ 50 11,18LWJ5011,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4747,0.2084,0.8311,0.2327,1.04,3.38,-15.275,-74.532
292,18L VJ 68 81,18LVJ6881,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4738,0.15,0.9112,0.1665,0.99,1.78,-14.636,-75.288
293,18L VJ 71 79,18LVJ7179,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4737,0.1281,0.9369,0.157,1.84,1.26,-14.654,-75.261
294,18L VJ 69 78,18LVJ6978,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4737,0.1329,0.9277,0.1683,2.1,1.45,-14.663,-75.279
295,18L WJ 48 10,18LWJ4810,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4731,0.2174,0.8113,0.2318,0.62,3.77,-15.284,-74.55
296,18L WJ 48 12,18LWJ4812,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4729,0.1548,0.9112,0.1944,2.04,1.78,-15.266,-74.55
297,18L ZL 23 05,18LZL2305,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4727,0.3062,0.8005,0.4454,3.13,3.99,-13.499,-72.01
298,18L VJ 80 87,18LVJ8087,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4724,0.1639,0.8666,0.1734,0.54,2.67,-14.582,-75.18
299,18L VJ 71 80,18LVJ7180,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4718,0.1276,0.9347,0.1515,1.58,1.31,-14.645,-75.261
300,19L AF 77 08,19LAF7708,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4711,0.3725,0.7316,0.3995,0.68,5.37,-13.472,-71.974
301,18L VJ 74 77,18LVJ7477,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4709,0.1708,0.8507,0.1808,0.56,2.99,-14.672,-75.234
302,18L VJ 70 79,18LVJ7079,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4704,0.1172,0.9419,0.1582,2.59,1.16,-14.654,-75.27
303,18K ZG 10 94,18KZG1094,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.47,0.7742,0.0271,0.8763,1.17,43.31,-16.315,-72.095
304,18L WJ 49 12,18LWJ4912,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4697,0.1579,0.899,0.1923,1.79,2.02,-15.266,-74.541
305,18L YL 70 43,18LYL7043,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.4696,0.304,0.7545,0.395,2.3,4.91,-13.166,-72.505
306,18L VJ 73 77,18LVJ7377,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4694,0.1568,0.8722,0.1694,0.74,2.56,-14.672,-75.243
307,18L VJ 70 80,18LVJ7080,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4683,0.1156,0.9396,0.1544,2.51,1.21,-14.645,-75.27
308,18K ZG 08 97,18KZG0897,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.4683,0.7736,0.0307,0.8569,0.97,41.79,-16.288,-72.113
309,18L VJ 71 78,18LVJ7178,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.468,0.1355,0.9068,0.1577,1.41,1.86,-14.663,-75.261
310,18L VJ 70 78,18LVJ7078,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4678,0.1329,0.9101,0.1602,1.71,1.8,-14.663,-75.27
311,18L VJ 69 81,18LVJ6981,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4678,0.1282,0.9221,0.1582,1.89,1.56,-14.636,-75.279
312,18L VJ 75 78,18LVJ7578,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4677,0.1659,0.8476,0.177,0.63,3.05,-14.663,-75.225
313,18K ZG 07 93,18KZG0793,Far South — Arequipa-Moquegua,Tier 2 — Medium Priority,0.4674,0.7788,0.0346,0.8303,0.62,40.36,-16.324,-72.122
314,18L WJ 11 53,18LWJ1153,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4672,0.5564,0.0203,0.6213,1.05,46.76,-14.897,-74.892
315,18L TM 75 67,18LTM7567,Central Coast — Lima Valley,Tier 2 — Medium Priority,0.4667,0.3507,0.8151,0.4062,1.37,3.7,-12.048,-77.064
316,18L VJ 77 89,18LVJ7789,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4664,0.132,0.906,0.1559,1.53,1.88,-14.564,-75.207
317,18L VJ 82 88,18LVJ8288,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.466,0.1689,0.8332,0.1785,0.54,3.34,-14.573,-75.162
318,18L VJ 72 77,18LVJ7277,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4655,0.1487,0.8774,0.1583,0.61,2.45,-14.672,-75.252
319,18L VJ 76 82,18LVJ7682,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4645,0.1035,0.9556,0.11,0.6,0.89,-14.627,-75.216
320,18L VJ 74 80,18LVJ7480,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.4643,0.1278,0.9097,0.1394,0.83,1.81,-14.645,-75.234
